#-----------------------------------------------------------------------------
# Date d'extraction : 11/02/2025 - 14h24 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;NORTXm_seas_JJA;NORTX30D_yr;NORRx1d_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
2362;42.7066;2.9698;REF;27.3;23.1;82.53;42;201;
2363;42.706;3.0672;REF;27.43;24.4;76.06;44;205;
2421;42.5178;8.7036;REF;25.81;7.7;50.17;9;166;
2422;42.512;8.8003;REF;25.84;7.6;48.8;9;174;
2423;42.506;8.8971;REF;21.36;0.6;58.53;3;106;
2424;42.5;8.9938;REF;20.63;0.3;75.47;2;88;
2425;42.4939;9.0905;REF;24.15;7.7;64.87;4;105;
2426;42.4877;9.1872;REF;26.2;19;66.09;7;133;
2427;42.4814;9.2839;REF;25.48;14.5;69.89;6;123;
2428;42.475;9.3805;REF;24.61;8.3;99.49;3;99;
2429;42.4685;9.4772;REF;26.41;10.1;87.44;4;125;
2430;42.4619;9.5738;REF;26.72;9.1;86.88;4;154;
2473;42.7513;-0.1499;REF;12.1;0;74.68;0;15;
2474;42.7535;-0.0524;REF;13.85;0;71.11;0;24;
2475;42.7557;0.045;REF;14.94;0;66.98;0;30;
2476;42.7577;0.1425;REF;12.89;0;71.66;0;15;
2477;42.7597;0.24;REF;14.5;0;66.81;0;18;
2478;42.7616;0.3374;REF;14.75;0;66.49;0;20;
2479;42.7634;0.4349;REF;15.31;0;61.18;0;33;
2480;42.765;0.5324;REF;17.5;0.1;60.44;0;24;
2481;42.7667;0.6299;REF;19.61;0.8;57.46;0;30;
2484;42.7709;0.9224;REF;12.53;0;80.1;0;8;
2485;42.7722;1.0199;REF;13.53;0;78.58;0;6;
2486;42.7733;1.1174;REF;15.44;0;75.1;0;11;
2487;42.7744;1.2149;REF;19.51;0.7;64.36;0;24;
2488;42.7754;1.3125;REF;19.47;0.6;66.81;0;26;
2489;42.7763;1.41;REF;17.01;0;71.13;0;20;
2490;42.7771;1.5075;REF;20.37;1.6;59.98;0;57;
2491;42.7778;1.6051;REF;21.18;2.7;59.55;0;59;
2492;42.7784;1.7026;REF;21.86;3.8;57.11;0;65;
2493;42.779;1.8001;REF;19.87;1;63.35;0;49;
2494;42.7794;1.8977;REF;18.44;0.3;62.77;0;43;
2495;42.7798;1.9952;REF;18.08;0.3;64.18;0;50;
2496;42.78;2.0927;REF;20.17;1.5;61.19;0;58;
2497;42.7802;2.1903;REF;20.94;2.5;59.85;0;71;
2498;42.7803;2.2878;REF;21.14;2.9;62.95;0;75;
2499;42.7803;2.3854;REF;22.91;4.1;79.72;1;121;
2500;42.7802;2.4829;REF;25.13;13.1;73.44;5;155;
2501;42.78;2.5804;REF;26.15;19.7;70.49;11;158;
2502;42.7798;2.678;REF;26.95;24.5;69.42;14;149;
2503;42.7794;2.7755;REF;26.17;15.5;88.63;26;151;
2504;42.779;2.873;REF;27.16;22;84.65;40;120;
2505;42.7784;2.9706;REF;27.38;24;82.67;43;188;
2506;42.7778;3.0681;REF;27.52;25.9;77.04;31;182;
2564;42.5894;8.7114;REF;26.71;12.3;47.51;9;152;
2565;42.5835;8.8083;REF;26.41;10;48.97;10;161;
